stx_ident,count
stx/stx/2017-06-07 10_00_00.npz,11
stx/stx/2017-07-03 09_30_00.npz,2
stx/stx/2017-07-29 09_30_00.npz,1
stx/stx/2017-06-05 21_30_00.npz,15
stx/stx/2017-10-03 15_00_00.npz,4
stx/stx/2017-07-28 22_00_00.npz,13
stx/stx/2017-04-10 18_00_00.npz,17
stx/stx/2017-07-18 00_30_00.npz,4
stx/stx/2017-07-22 01_00_00.npz,6
stx/stx/2017-06-22 01_30_00.npz,11
stx/stx/2017-07-23 22_00_00.npz,11
stx/stx/2017-12-19 22_30_00.npz,2
stx/stx/2017-08-10 21_00_00.npz,6
stx/stx/2017-12-19 01_30_00.npz,2
stx/stx/2017-09-27 19_30_00.npz,1
stx/stx/2017-12-22 09_30_00.npz,1
stx/stx/2017-06-17 18_00_00.npz,2
stx/stx/2017-09-02 12_30_00.npz,3
stx/stx/2017-08-02 01_30_00.npz,6
stx/stx/2017-05-19 15_30_00.npz,9
stx/stx/2017-08-20 23_00_00.npz,2
stx/stx/2017-05-20 16_30_00.npz,7
stx/stx/2017-04-16 14_00_00.npz,3
stx/stx/2017-03-24 13_00_00.npz,1
stx/stx/2017-05-30 14_00_00.npz,5
stx/stx/2017-06-05 05_00_00.npz,1
stx/stx/2017-03-27 02_00_00.npz,6
stx/stx/2017-07-01 07_30_00.npz,1
stx/stx/2017-04-18 08_30_00.npz,2
stx/stx/2017-07-05 20_00_00.npz,5
stx/stx/2017-07-24 21_00_00.npz,1
stx/stx/2017-01-14 15_00_00.npz,15
stx/stx/2017-05-20 12_30_00.npz,3
stx/stx/2017-04-11 08_30_00.npz,1
stx/stx/2017-08-17 18_00_00.npz,3
stx/stx/2017-04-26 19_30_00.npz,18
stx/stx/2017-07-15 11_00_00.npz,2
stx/stx/2017-09-26 16_00_00.npz,3
stx/stx/2017-06-24 17_00_00.npz,15
stx/stx/2017-05-21 17_30_00.npz,2
stx/stx/2017-12-19 13_30_00.npz,4
stx/stx/2017-08-06 20_00_00.npz,11
stx/stx/2017-07-16 12_30_00.npz,4
stx/stx/2017-04-29 20_30_00.npz,9
stx/stx/2017-06-24 13_30_00.npz,13
stx/stx/2017-09-20 18_00_00.npz,2
stx/stx/2017-04-14 00_00_00.npz,6
stx/stx/2017-08-08 12_30_00.npz,1
stx/stx/2017-06-09 08_30_00.npz,1
stx/stx/2017-04-11 09_30_00.npz,5
stx/stx/2017-08-06 01_30_00.npz,7
stx/stx/2017-05-22 01_00_00.npz,5
stx/stx/2017-06-04 20_30_00.npz,2
stx/stx/2017-01-14 12_00_00.npz,2
stx/stx/2017-11-15 14_00_00.npz,4
stx/stx/2017-04-11 10_00_00.npz,7
stx/stx/2017-04-11 04_00_00.npz,3
stx/stx/2017-05-29 01_00_00.npz,12
stx/stx/2017-04-21 13_00_00.npz,6
